keyLength        |encrypt(ms)      |decrypt(ms)      |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |641.00           |8.00             |
256              |15.00            |9.00             |
256              |15.00            |7.00             |
256              |15.00            |8.00             |
256              |16.00            |7.00             |
256              |3274.00          |8.00             |
256              |15.00            |8.00             |
256              |15.00            |7.00             |
256              |16.00            |8.00             |
256              |15.00            |8.00             |
256              |16.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |13.00            |7.00             |
256              |13.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |13.00            |7.00             |
256              |13.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |3617.00          |7.00             |
256              |14.00            |7.00             |
256              |3617.00          |7.00             |
256              |14.00            |1054.00          |
256              |15.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |13.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |13.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |13.00            |7.00             |
256              |13.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |16.00            |8.00             |
256              |15.00            |8.00             |
256              |15.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |15.00            |7.00             |
256              |14.00            |8.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
256              |14.00            |7.00             |
