keyLength        |encrypt(ms)      |decrypt(ms)      |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |53.00            |62.00            |
224              |53.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |61.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |61.00            |
224              |52.00            |62.00            |
224              |52.00            |61.00            |
224              |52.00            |61.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |74.00            |
224              |53.00            |62.00            |
224              |52.00            |61.00            |
224              |53.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
224              |53.00            |61.00            |
224              |52.00            |62.00            |
224              |52.00            |62.00            |
256              |69.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |80.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |67.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |72.00            |78.00            |
256              |68.00            |78.00            |
256              |67.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |78.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
256              |68.00            |79.00            |
